simulation_offset_minutes,local_time,source_observed_at,source_next_observed_at,source_interpolation_fraction,source_temperature_c,temperature_adjustment_c,temperature_c,station_peak_anchor_c,relative_humidity_percent,apparent_temperature_c,precipitation_mm,cloud_cover_pct,wind_speed_mps,wind_gust_mps,shortwave_radiation_wm2,source_grid_latitude,source_grid_longitude,derivation_version
0,2026-05-26T00:00:00+07:00,2026-05-26T00:00:00+07:00,2026-05-26T01:00:00+07:00,0,32.1,0.3794,32.4794,41.1,67,37.5,0,0,2.75,5.9,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
15,2026-05-26T00:15:00+07:00,2026-05-26T00:00:00+07:00,2026-05-26T01:00:00+07:00,0.25,31.675,0.3093,31.9843,41.1,68.25,37.025,0,0.25,2.7175,5.775,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
30,2026-05-26T00:30:00+07:00,2026-05-26T00:00:00+07:00,2026-05-26T01:00:00+07:00,0.5,31.25,0.2392,31.4892,41.1,69.5,36.55,0,0.5,2.685,5.65,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
45,2026-05-26T00:45:00+07:00,2026-05-26T00:00:00+07:00,2026-05-26T01:00:00+07:00,0.75,30.825,0.1691,30.9941,41.1,70.75,36.075,0,0.75,2.6525,5.525,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
60,2026-05-26T01:00:00+07:00,2026-05-26T01:00:00+07:00,2026-05-26T02:00:00+07:00,0,30.4,0.099,30.499,41.1,72,35.6,0,1,2.62,5.4,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
75,2026-05-26T01:15:00+07:00,2026-05-26T01:00:00+07:00,2026-05-26T02:00:00+07:00,0.25,30.4,0.099,30.499,41.1,72,35.6,0,1.5,2.595,5.225,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
90,2026-05-26T01:30:00+07:00,2026-05-26T01:00:00+07:00,2026-05-26T02:00:00+07:00,0.5,30.4,0.099,30.499,41.1,72,35.6,0,2,2.57,5.05,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
105,2026-05-26T01:45:00+07:00,2026-05-26T01:00:00+07:00,2026-05-26T02:00:00+07:00,0.75,30.4,0.099,30.499,41.1,72,35.6,0,2.5,2.545,4.875,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
120,2026-05-26T02:00:00+07:00,2026-05-26T02:00:00+07:00,2026-05-26T03:00:00+07:00,0,30.4,0.099,30.499,41.1,72,35.6,0,3,2.52,4.7,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
135,2026-05-26T02:15:00+07:00,2026-05-26T02:00:00+07:00,2026-05-26T03:00:00+07:00,0.25,30.3,0.0825,30.3825,41.1,72.5,35.55,0,2.75,2.4725,4.575,0,21,105.75,lang-max-anchor-era5-linear-15m-v2
